Will not train the discriminator...
Alpha: 5e-07
Beta: 0.02
Momentum: 0.9
Epochs: 60
Every: 10
Batch: 1
Inputs: assets/res/Arles
	assets/res/Paris
Starting Epoch: 941
Epoch 941, gen loss = 0.3132638931274414, dis loss = 1.6265214681625366, 0:00:45.71
Epoch 942, gen loss = 0.31326305866241455, dis loss = 1.6265242099761963, 0:00:39.09
Epoch 943, gen loss = 0.31326279044151306, dis loss = 1.6265246868133545, 0:00:37.72
Epoch 944, gen loss = 0.3132627606391907, dis loss = 1.6265250444412231, 0:00:37.57
Epoch 945, gen loss = 0.3132626414299011, dis loss = 1.6265252828598022, 0:00:42.62
Epoch 946, gen loss = 0.3132627606391907, dis loss = 1.6265250444412231, 0:00:37.74
Epoch 947, gen loss = 0.31326261162757874, dis loss = 1.626525640487671, 0:00:37.56
Epoch 948, gen loss = 0.31326258182525635, dis loss = 1.6265254020690918, 0:00:37.77
Epoch 949, gen loss = 0.31326258182525635, dis loss = 1.626525640487671, 0:00:37.70
Epoch 950, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:39.02
Epoch 951, gen loss = 0.31326258182525635, dis loss = 1.626525640487671, 0:00:37.68
Epoch 952, gen loss = 0.31326261162757874, dis loss = 1.6265254020690918, 0:00:37.95
Epoch 953, gen loss = 0.31326258182525635, dis loss = 1.6265254020690918, 0:00:42.64
Epoch 954, gen loss = 0.31326258182525635, dis loss = 1.626525640487671, 0:00:37.72
Epoch 955, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:37.70
Epoch 956, gen loss = 0.31326258182525635, dis loss = 1.6265254020690918, 0:00:37.73
Epoch 957, gen loss = 0.31326261162757874, dis loss = 1.6265254020690918, 0:00:38.30
Epoch 958, gen loss = 0.31326258182525635, dis loss = 1.626525640487671, 0:00:38.88
Epoch 959, gen loss = 0.31326258182525635, dis loss = 1.626525640487671, 0:00:37.40
Epoch 960, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:37.38
Epoch 961, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:38.36
Epoch 962, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:39.34
Epoch 963, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:37.82
Epoch 964, gen loss = 0.31326258182525635, dis loss = 1.626525640487671, 0:00:37.12
Epoch 965, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:37.16
Epoch 966, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:38.80
Epoch 967, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:37.49
Epoch 968, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:38.16
Epoch 969, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:37.99
Epoch 970, gen loss = 0.31326258182525635, dis loss = 1.626525640487671, 0:00:43.22
Epoch 971, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:38.10
Epoch 972, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:37.88
Epoch 973, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:39.64
Epoch 974, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:40.11
Epoch 975, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:39.01
Epoch 976, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:38.32
Epoch 977, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:37.13
Epoch 978, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:41.62
Epoch 979, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.54
Epoch 980, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.58
Epoch 981, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.55
Epoch 982, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:38.03
Epoch 983, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.58
Epoch 984, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.61
Epoch 985, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.65
Epoch 986, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.61
Epoch 987, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:40.91
Epoch 988, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.29
Epoch 989, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.44
Epoch 990, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:38.21
Epoch 991, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.68
Epoch 992, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.96
Epoch 993, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.83
Epoch 994, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:37.19
Epoch 995, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:39.99
Epoch 996, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:37.15
Epoch 997, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.95
Epoch 998, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:38.83
Epoch 999, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:37.41
Epoch 1000, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:36.92
