Will train the discriminator...
Alpha: 5e-07
Beta: 0.02
Momentum: 0.9
Epochs: 50
Every: 10
Batch: 1
Inputs: assets/res/Arles
	assets/res/Paris
Seed Size: 100
Starting Epoch: 1201
Epoch 1201, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:27.05
Epoch 1202, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.47
Epoch 1203, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:15.28
Epoch 1204, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:13.36
Epoch 1205, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:13.69
Epoch 1206, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:18.08
Epoch 1207, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.13
Epoch 1208, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.89
Epoch 1209, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.45
Epoch 1210, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:13.50
Epoch 1211, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:13.94
Epoch 1212, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.18
Epoch 1213, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.26
Epoch 1214, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:13.64
Epoch 1215, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:16.54
Epoch 1216, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.13
Epoch 1217, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.24
Epoch 1218, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:13.43
Epoch 1219, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:16.11
Epoch 1220, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.80
Epoch 1221, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.34
Epoch 1222, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:13.28
Epoch 1223, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.60
Epoch 1224, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:15.75
Epoch 1225, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.23
Epoch 1226, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.48
Epoch 1227, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:13.55
Epoch 1228, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:14.36
Epoch 1229, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:13.05
Epoch 1230, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.94
Epoch 1231, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:13.76
Epoch 1232, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:16.00
Epoch 1233, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.09
Epoch 1234, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.65
Epoch 1235, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.96
Epoch 1236, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.33
Epoch 1237, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:15.77
Epoch 1238, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:11.88
Epoch 1239, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:13.17
Epoch 1240, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.32
Epoch 1241, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:16.33
Epoch 1242, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.80
Epoch 1243, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:13.85
Epoch 1244, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:11.88
Epoch 1245, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:14.04
Epoch 1246, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.13
Epoch 1247, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.16
Epoch 1248, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.79
Epoch 1249, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.00
Epoch 1250, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:15.62

Training time: 1:01:34.88
