Will train the discriminator...
Alpha: 5e-07
Beta: 0.02
Momentum: 0.9
Epochs: 100
Every: 10
Batch: 1
Inputs: assets/res/Arles
	assets/res/Paris
Seed Size: 100
Starting Epoch: 1301
Epoch 1301, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:34.99
Epoch 1302, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.92
Epoch 1303, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.97
Epoch 1304, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:25.97
Epoch 1305, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.40
Epoch 1306, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.63
Epoch 1307, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.02
Epoch 1308, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.31
Epoch 1309, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.01
Epoch 1310, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.03
Epoch 1311, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.37
Epoch 1312, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.42
Epoch 1313, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.56
Epoch 1314, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:30.33
Epoch 1315, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.16
Epoch 1316, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.69
Epoch 1317, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:25.57
Epoch 1318, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.36
Epoch 1319, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.32
Epoch 1320, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.43
Epoch 1321, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.24
Epoch 1322, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.33
Epoch 1323, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.27
Epoch 1324, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.12
Epoch 1325, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.03
Epoch 1326, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:24.33
Epoch 1327, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:30.36
Epoch 1328, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.82
Epoch 1329, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:25.84
Epoch 1330, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.95
Epoch 1331, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:00:23.93
