Will train the discriminator...
Alpha: 5e-07
Beta: 0.02
Momentum: 0.9
Epochs: 69
Every: 10
Batch: 1
Inputs: assets/res/Arles
	assets/res/Paris
Starting Epoch: 532
Epoch 532, gen loss = 0.693138062953949, dis loss = 1.006424903869629, 0:01:34.26
Epoch 533, gen loss = 0.6931405067443848, dis loss = 1.0064188241958618, 0:01:19.93
Epoch 534, gen loss = 0.6931450366973877, dis loss = 1.006412386894226, 0:01:20.58
Epoch 535, gen loss = 0.6931455135345459, dis loss = 1.0064103603363037, 0:01:20.88
Epoch 536, gen loss = 0.6931455135345459, dis loss = 1.006410002708435, 0:01:21.95
Epoch 537, gen loss = 0.6931456923484802, dis loss = 1.006409764289856, 0:01:19.88
Epoch 538, gen loss = 0.6931456327438354, dis loss = 1.0064095258712769, 0:01:19.29
Epoch 539, gen loss = 0.6931453347206116, dis loss = 1.006409764289856, 0:01:21.01
Epoch 540, gen loss = 0.6931458711624146, dis loss = 1.0064091682434082, 0:01:23.59
Epoch 541, gen loss = 0.6931458711624146, dis loss = 1.0064090490341187, 0:01:18.87
Epoch 542, gen loss = 0.6931458115577698, dis loss = 1.006408929824829, 0:01:20.46
Epoch 543, gen loss = 0.6931421160697937, dis loss = 1.0064128637313843, 0:01:19.45
Epoch 544, gen loss = 0.6931459903717041, dis loss = 1.0064090490341187, 0:01:24.26
Epoch 545, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:01:20.31
Epoch 546, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:01:21.46
Epoch 547, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:01:19.52
Epoch 548, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:01:24.22
Epoch 549, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:01:19.21
Epoch 550, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:01:21.99
Epoch 551, gen loss = 0.6931459903717041, dis loss = 1.0064088106155396, 0:01:20.62
