Will not train the discriminator...
Alpha: 5e-07
Beta: 0.02
Momentum: 0.9
Epochs: 100
Every: 10
Batch: 1
Inputs: assets/res/Arles
	assets/res/Paris
Seed Size: 100
Starting Epoch: 1001
Epoch 1001, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.41
Epoch 1002, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:08.52
Epoch 1003, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:09.46
Epoch 1004, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:13.58
Epoch 1005, gen loss = 0.31326258182525635, dis loss = 1.626525640487671, 0:01:08.78
Epoch 1006, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:09.09
Epoch 1007, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:11.25
Epoch 1008, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:11.60
Epoch 1009, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:12.53
Epoch 1010, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:09.07
Epoch 1011, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:08.65
Epoch 1012, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:09.16
Epoch 1013, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:17.51
Epoch 1014, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.46
Epoch 1015, gen loss = 0.31326258182525635, dis loss = 1.626525640487671, 0:01:21.49
Epoch 1016, gen loss = 0.31326258182525635, dis loss = 1.626525640487671, 0:01:20.29
Epoch 1017, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.14
Epoch 1018, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.18
Epoch 1019, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.72
Epoch 1020, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.42
Epoch 1021, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.36
Epoch 1022, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.36
Epoch 1023, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.96
Epoch 1024, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.19
Epoch 1025, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.88
Epoch 1026, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.67
Epoch 1027, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.18
Epoch 1028, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.80
Epoch 1029, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.94
Epoch 1030, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.26
Epoch 1031, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.11
Epoch 1032, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.28
Epoch 1033, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.08
Epoch 1034, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.78
Epoch 1035, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.05
Epoch 1036, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.17
Epoch 1037, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.63
Epoch 1038, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.03
Epoch 1039, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.73
Epoch 1040, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.39
Epoch 1041, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.11
Epoch 1042, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.49
Epoch 1043, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.03
Epoch 1044, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.25
Epoch 1045, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.95
Epoch 1046, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.29
Epoch 1047, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.89
Epoch 1048, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.72
Epoch 1049, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.94
Epoch 1050, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.51
Epoch 1051, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.70
Epoch 1052, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.71
Epoch 1053, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.19
Epoch 1054, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:20.56
Epoch 1055, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.19
Epoch 1056, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:21.17
Epoch 1057, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.73
Epoch 1058, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:19.08
Epoch 1059, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.99
Epoch 1060, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.74
Epoch 1061, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.15
Epoch 1062, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:24.44
Epoch 1063, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:24.04
Epoch 1064, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.44
Epoch 1065, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.12
Epoch 1066, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:23.50
Epoch 1067, gen loss = 0.3132625222206116, dis loss = 1.626525640487671, 0:01:22.51
